sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Harpea_6:bin_000006	514080	3058409	415926	1978555	256894	2027541	848269	3401611	1064016	3445094	2937150	3457979	2305373	3493262	3591548	3847591	1429297	3428974	2084031	3469190	319083	2613527
Harpea_6:bin_000007	1046675	2849105	1859910	2850915	346082	2106222	18756	63260	2088727	2856241	11261	28456	35862	69843	2793756	2867149	7118	20247	2646233	2858675	9072	37788
Harpea_6:bin_000008	1616461	3253083	729632	2633496	49644	506409	1803603	3256518	1760113	3238095	2375379	3143438	2133625	3256399	2333719	3318532	1093312	3108221	1867189	3237191	142715	1620592
Harpea_6:bin_000009	26067	286759	40406	234467	219011	1498429	6667	36130	71096	807315	4155	11438	14281	45349	866026	2248414	2911	7633	214783	1695206	2488	20209
Harpea_6:bin_000010	105194	485749	47677	217387	120076	1078050	62477	220009	45865	309438	24373	118157	114591	260174	1326121	3175229	8015	29900	49341	319563	19333	128355
Harpea_6:bin_000011	725419	3748364	1017222	2992796	471440	2952295	277579	2539857	1106049	3955504	5913	18448	707669	3510142	3133836	4005157	3310	12837	1345193	3990365	150660	1752936
Harpea_6:bin_000015	797677	3040199	830026	2714199	184316	1525548	831496	3055968	521553	2853786	9123	23286	1224555	3091622	1546946	3128710	5721	15303	511483	2911014	126618	1357225
Harpea_6:bin_000016	9542	43134	2665	19774	64160	623364	16026	41220	1627	16109	6383	21875	15865	36564	1142107	1997580	939	13341	899	13763	420	8992
Harpea_6:bin_000017	218211	1886973	17635	95547	112863	1016692	199261	1816540	90105	925804	38223	267516	115426	725465	1723632	3532794	16875	71600	51360	478912	9201	84239
Harpea_6:bin_000019	3631	18598	0	1829	43579	445574	605	6155	1396	7076	716	3062	1152	8831	1650654	2033667	230	4467	2320	12079	144	2717
