Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastp | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2											5.883900000000001	0.941032	230530173.0	1724486.0	0.434765	97.6057116077311	22.73798554212503						
fastp | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		7.524401641689437	43.0	142.04562170988922	150	9.090909090909092	862243.0
fastp | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.057876757311519	43.0	142.05918865099514	150	9.090909090909092	862243.0
fastp | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1											4.57895	0.945767	3513118115.0	26419424.0	0.436159	97.40828581349749	26.378211658440616						
fastp | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		6.3992808101397145	43.0	140.59157519861145	150	9.090909090909092	13209712.0
fastp | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		6.879252118191175	43.0	140.59592253033222	150	9.090909090909092	13209712.0
fastp | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2											7.012110000000001	0.940835	215161304.0	1595126.0	0.437665	98.8074664050179	18.103442935917116						
fastp | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		10.188651554140648	43.0	143.36073137796012	150	9.090909090909092	797563.0
fastp | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		10.687538798644269	43.0	143.37098385958225	150	9.090909090909092	797563.0
fastp | AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1											5.20885	0.945749	3107999329.0	23093180.0	0.438669	98.55726737350109	20.935315815687012						
fastp | AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		9.53152879343618	43.0	142.2988457198186	150	9.090909090909092	11546590.0
fastp | AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		9.692280945588976	43.0	142.30263237891015	150	9.090909090909092	11546590.0
newr | AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	0.05237794	0.0	700.0	0.03614037334038243	0.027879716576866442	0.01770878293678739	1936892.0	1936892	700	0.04													
newr | AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.04246244	0.0	14792.0	0.05359927929406067	0.034452538367220724	0.02259271946988023	27597386.0	27597386	14792	0.05													
newr | AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	0.05924981	0.0	334.0	0.018985384664356588	0.014210617263739962	0.010459014306112612	1759248.0	1759248	334	0.02													
newr | AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.04461823	0.0	8245.0	0.03268344091583084	0.020501971669700077	0.013790866094138933	25226842.0	25226842	8245	0.03													
newr | AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	0.05529211	0.0	371.0	0.02492867442613654	0.015857593435493863	0.012565127001853187	1488246.0	1488246	371	0.02													
newr | AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.03941755	0.0	7595.0	0.03904656664233561	0.020019398354872264	0.015556933595748196	19451134.0	19451134	7595	0.04													
newr | AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	0.04131757	0.0	230.0	0.014305831305637243	0.007463911985549867	0.0044783471913299195	1607736.0	1607736	230	0.01													
newr | AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.02953894	0.0	5835.0	0.02549134735859838	0.009593658748840111	0.005893372337060706	22890120.0	22890120	5835	0.03													
newr | AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	0.05125955	0.0	192.0	0.01950078003120125	0.015234984399375975	0.01015665626625065	984576.0	984576	192	0.02													
newr | AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.03838257	0.0	4110.0	0.030264788178146644	0.017466685537363462	0.012069096794156289	13580138.0	13580138	4110	0.03													
newr | AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	0.03547655	0.0	113.0	0.01156746287663352	0.005118346405590053	0.0042994109806956445	976878.0	976878	113	0.01													
newr | AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.02068624	0.0	3471.0	0.02439842179957867	0.005763960206181074	0.003999626045508574	14226330.0	14226330	3471	0.02													
newr | AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	0.03734876	0.0	795.0	0.018018018018018018	0.010470848206697263	0.006935237123916369	4412250.0	4412250	795	0.02													
newr | AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.02689712	0.0	18979.0	0.03042448399087666	0.01152600452576022	0.007366062697617274	62380680.0	62380680	18979	0.03													
newr | AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	0.04792009	0.0	414.0	0.01648531492924455	0.011388405965613385	0.007008249824992852	2511326.0	2511326	414	0.02													
newr | AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.0348307	0.0	9451.0	0.024880315966060204	0.012636283635286105	0.00839786349928389	37985852.0	37985852	9451	0.02													
newr | AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	0.07657514	0.0	6311.0	0.6488792926177257	0.4038659263828912	0.3960518198642813	972600.0	972600	6311	0.65													
newr | AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.07495876	0.0	94443.0	0.7010585172266816	0.4671793445801005	0.4260777170387885	13471486.0	13471486	94443	0.7													
newr | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	0.07373846	0.0	4450.0	0.2580479052888803	0.18185128786200644	0.15987372469245908	1724486.0	1724486	4450	0.26													
newr | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.07172296	0.0	77893.0	0.29483231731320103	0.20699921391170376	0.17177891539194798	26419424.0	26419424	77893	0.29													
newr | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	0.076868	0.0	14712.0	0.922309585575058	0.5931819806084284	0.5684190465204629	1595126.0	1595126	14712	0.92													
newr | AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1	0.07586695	0.0	225708.0	0.9773794687435857	0.6498715205095185	0.5977219248280229	23093180.0	23093180	225708	0.98													
nonnewr | AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		4.801203435276079	44.0	142.10404270177352	150	9.090909090909092	968016.0
nonnewr | AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		5.3387759582944625	44.0	142.11430802796647	150	9.090909090909092	968016.0
nonnewr | AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		5.408462853611979	44.0	140.51376224102833	150	9.090909090909092	13788670.0
nonnewr | AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		6.003360175559251	44.0	140.52256308984116	150	9.090909090909092	13788670.0
nonnewr | AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		7.556848278330307	44.0	141.63332753403677	150	9.090909090909092	879417.0
nonnewr | AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.743711758109043	44.0	141.64476010811708	150	9.090909090909092	879417.0
nonnewr | AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		38.90695260879765	44.0	140.19560299284498	150	9.090909090909092	12607803.0
nonnewr | AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		41.35939864189338	44.0	140.2054975795545	150	9.090909090909092	12607803.0
nonnewr | AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		5.41415092990853	43.0	141.50915279665426	150	18.181818181818183	743871.0
nonnewr | AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		6.076067396173698	43.0	141.52148154720376	150	18.181818181818183	743871.0
nonnewr | AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		16.13948716395683	43.0	140.32113860408765	150	18.181818181818183	9719937.0
nonnewr | AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		17.164679554949032	43.0	140.32912229780914	150	18.181818181818183	9719937.0
nonnewr | AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		4.644101478263551	42.0	141.28619349733296	150	9.090909090909092	803701.0
nonnewr | AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		5.303578446617678	42.0	141.29756339733308	150	9.090909090909092	803701.0
nonnewr | AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		5.380086582733398	42.0	139.7566603909301	150	9.090909090909092	11440357.0
nonnewr | AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		5.861251611601432	42.0	139.76513093079177	150	9.090909090909092	11440357.0
nonnewr | AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		5.4206083799285665	44.0	142.95119185975634	150	9.090909090909092	492172.0
nonnewr | AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		6.035401549614576	44.0	142.96147281844557	150	9.090909090909092	492172.0
nonnewr | AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		3.6293789099675564	44.0	141.3238459918885	150	9.090909090909092	6787149.0
nonnewr | AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		4.005217671466767	44.0	141.32905318566014	150	9.090909090909092	6787149.0
nonnewr | AK01_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		4.818887388785683	43.0	143.0279818655396	150	9.090909090909092	488352.0
nonnewr | AK01_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		5.328281405762098	43.0	143.03341442238386	150	9.090909090909092	488352.0
nonnewr | AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		5.251485428256885	43.0	141.6712113233723	150	9.090909090909092	7110108.0
nonnewr | AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		5.811433186567157	43.0	141.66780743696157	150	9.090909090909092	7110108.0
nonnewr | AK03_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		5.201832824913851	44.0	141.58809682067428	150	9.090909090909092	2205562.0
nonnewr | AK03_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		5.841381465774333	44.0	141.6006115448126	150	9.090909090909092	2205562.0
nonnewr | AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		19.068180535050203	44.0	140.35251012421455	150	9.090909090909092	31175011.0
nonnewr | AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		20.586928442927544	44.0	140.3627345311923	150	9.090909090909092	31175011.0
nonnewr | AK05_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		4.4309733385691175	44.0	138.1860994923502	150	9.090909090909092	1255393.0
nonnewr | AK05_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		5.055488662335264	44.0	138.20287272591133	150	9.090909090909092	1255393.0
nonnewr | AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		6.6136582652956974	44.0	136.3022595715768	150	9.090909090909092	18985900.0
nonnewr | AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		7.176809126045811	44.0	136.32226494398475	150	9.090909090909092	18985900.0
nonnewr | AK12_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		6.589887009316627	44.0	142.67695093794794	150	9.090909090909092	482063.0
nonnewr | AK12_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		7.263128894608045	44.0	142.6920132845707	150	9.090909090909092	482063.0
nonnewr | AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		4.393816805554167	44.0	141.29167129890027	150	9.090909090909092	6674246.0
nonnewr | AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		4.918835489393729	44.0	141.29488649354548	150	9.090909090909092	6674246.0
nonnewr | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		4.779229301900372	43.0	142.08614520706382	150	9.090909090909092	859421.0
nonnewr | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		5.392120837095206	43.0	142.10069337379468	150	9.090909090909092	859421.0
nonnewr | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		3.7963129582428508	43.0	140.63760258648176	150	9.090909090909092	13160116.0
nonnewr | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		4.330035478138612	43.0	140.64730827600607	150	9.090909090909092	13160116.0
nonnewr | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		7.872700504350192	43.0	143.4843468768643	150	9.090909090909092	787830.0
nonnewr | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.545499321711219	43.0	143.49536321287587	150	9.090909090909092	787830.0
nonnewr | AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		4.755526425998411	43.0	142.42862292186825	150	9.090909090909092	11399542.0
nonnewr | AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		5.027353593585701	43.0	142.4343800829893	150	9.090909090909092	11399542.0
